"","cycle","st_cd_fips","cost"
"1",2012,"0101",410050
"2",2012,"0102",184770
"3",2012,"0104",66620
"4",2012,"0105",92830
"5",2012,"0106",423300
"6",2012,"0201",93390
"7",2012,"0401",9017940
"8",2012,"0402",2792690
"9",2012,"0403",2390
"10",2012,"0404",343140
"11",2012,"0405",74480
"12",2012,"0406",1713830
"13",2012,"0408",2573950
"14",2012,"0409",7528820
"15",2012,"0501",417270
"16",2012,"0502",151000
"17",2012,"0504",1220330
"18",2012,"0603",764420
"19",2012,"0606",116560
"20",2012,"0607",6844170
"21",2012,"0609",4246770
"22",2012,"0610",6826270
"23",2012,"0611",260
"24",2012,"0616",681960
"25",2012,"0617",13690
"26",2012,"0619",910810
"27",2012,"0620",54930
"28",2012,"0621",1485770
"29",2012,"0622",47030
"30",2012,"0623",46960
"31",2012,"0624",3233980
"32",2012,"0626",296350
"33",2012,"0633",281890
"34",2012,"0635",3722030
"35",2012,"0636",2996850
"36",2012,"0638",150
"37",2012,"0639",8210
"38",2012,"0652",11777350
"39",2012,"0803",3134970
"40",2012,"0804",24750
"41",2012,"0805",404070
"42",2012,"0806",8893360
"43",2012,"0807",7088060
"44",2012,"0902",527780
"45",2012,"0905",8443280
"46",2012,"1202",3342060
"47",2012,"1203",420220
"48",2012,"1206",2470
"49",2012,"1207",677860
"50",2012,"1209",1155880
"51",2012,"1210",4583610
"52",2012,"1212",66520
"53",2012,"1213",296600
"54",2012,"1214",10940
"55",2012,"1216",1314970
"56",2012,"1218",10168270
"57",2012,"1219",901760
"58",2012,"1222",2432820
"59",2012,"1223",259200
"60",2012,"1226",157820
"61",2012,"1227",45290
"62",2012,"1301",64750
"63",2012,"1302",337100
"64",2012,"1312",10985660
"65",2012,"1501",915370
"66",2012,"1502",1090170
"67",2012,"1602",394030
"68",2012,"1702",215840
"69",2012,"1708",12827090
"70",2012,"1710",15097850
"71",2012,"1711",13699150
"72",2012,"1712",6496540
"73",2012,"1713",5451280
"74",2012,"1715",139490
"75",2012,"1717",7031000
"76",2012,"1718",329870
"77",2012,"1802",2559120
"78",2012,"1803",132800
"79",2012,"1805",940240
"80",2012,"1806",354840
"81",2012,"1807",341310
"82",2012,"1808",2052370
"83",2012,"1809",1396800
"84",2012,"1901",1818080
"85",2012,"1902",1995920
"86",2012,"1903",5164430
"87",2012,"1904",3273760
"88",2012,"2001",146230
"89",2012,"2002",316540
"90",2012,"2103",59440
"91",2012,"2104",738500
"92",2012,"2105",195130
"93",2012,"2106",6397660
"94",2012,"22",5730
"95",2012,"2202",6050
"96",2012,"2203",2299120
"97",2012,"2301",206610
"98",2012,"2302",996820
"99",2012,"2401",295690
"100",2012,"2402",215170
"101",2012,"2406",247090
"102",2012,"2501",376070
"103",2012,"2504",1052180
"104",2012,"2506",5919060
"105",2012,"2603",1731220
"106",2012,"2604",655430
"107",2012,"2605",127060
"108",2012,"2606",2331940
"109",2012,"2607",91640
"110",2012,"2608",105990
"111",2012,"2609",14160
"112",2012,"2611",700130
"113",2012,"2613",20610
"114",2012,"2614",488370
"115",2012,"2701",258900
"116",2012,"2702",1023920
"117",2012,"2703",809760
"118",2012,"2705",340
"119",2012,"2706",4745810
"120",2012,"2707",165790
"121",2012,"2708",8985590
"122",2012,"2801",375190
"123",2012,"2802",39060
"124",2012,"2901",36210
"125",2012,"2902",424870
"126",2012,"2904",637540
"127",2012,"2907",86980
"128",2012,"2908",126730
"129",2012,"3001",874480
"130",2012,"3102",844920
"131",2012,"3201",32570
"132",2012,"3203",7709710
"133",2012,"3204",6928950
"134",2012,"3301",2753980
"135",2012,"3302",3540740
"136",2012,"3403",2243050
"137",2012,"3409",736600
"138",2012,"3501",1271210
"139",2012,"3502",93750
"140",2012,"3503",10010
"141",2012,"3601",447540
"142",2012,"3604",94820
"143",2012,"3607",42400
"144",2012,"3618",703680
"145",2012,"3619",3054680
"146",2012,"3620",90420
"147",2012,"3621",5637560
"148",2012,"3622",269200
"149",2012,"3623",510820
"150",2012,"3624",4060220
"151",2012,"3625",4191170
"152",2012,"3626",242220
"153",2012,"3627",5968730
"154",2012,"3702",107000
"155",2012,"3703",14640
"156",2012,"3704",36170
"157",2012,"3706",90
"158",2012,"3707",5822710
"159",2012,"3708",3673880
"160",2012,"3709",1821310
"161",2012,"3711",327590
"162",2012,"3713",607990
