"","cycle","st_cd_fips","party","total_ads","stations","attack_ad_pct"
"1",2006,"0101","D",85,340,0
"2",2006,"0101","R",213,742,0
"3",2006,"0105","R",55,220,0
"4",2006,"0107","D",59,116,0.322033898305085
"5",2006,"0401","D",496,2595,0.372983870967742
"6",2006,"0401","R",952,4760,1
"7",2006,"0405","D",2897,16193,NA
"8",2006,"0405","R",3480,19686,0.902873563218391
"9",2006,"0407","D",53,106,0
"10",2006,"0408","D",4043,20841,0.203314370516943
"11",2006,"0408","R",2518,9013,0.30857823669579
"12",2006,"0502","D",65,260,0
"13",2006,"0502","R",59,216,0
"14",2006,"0603","D",41,164,0
"15",2006,"0604","D",404,2424,0
"16",2006,"0604","R",144,864,1
"17",2006,"0605","D",200,1200,0
"18",2006,"0606","D",5,5,0
"19",2006,"0611","D",1259,7507,0.247021445591739
"20",2006,"0611","R",1519,8621,0.45687952600395
"21",2006,"0619","D",50,170,0
"22",2006,"0619","R",70,236,0
"23",2006,"0645","R",10,10,0
"24",2006,"0647","D",24,24,0
"25",2006,"0650","D",5499,29897,0.304418985270049
"26",2006,"0650","R",6275,35251,0.580717131474104
"27",2006,"0651","D",1383,7631,NA
"28",2006,"0652","R",47,141,0
"29",2006,"0803","D",1720,14413,0
"30",2006,"0803","R",358,1432,0.729050279329609
"31",2006,"0804","D",2290,13199,0.113100436681223
"32",2006,"0804","R",3170,18996,0.942902208201893
"33",2006,"0805","D",558,1991,0.25089605734767
"34",2006,"0805","R",2174,7317,0.384544618215271
"35",2006,"0806","R",424,2544,0
"36",2006,"0807","D",4274,24189,0.438465138043987
"37",2006,"0807","R",2549,14161,0.14633189486073
"38",2006,"0902","D",3027,17933,0.49190617773373
"39",2006,"0902","R",4223,25106,0.389770305470045
"40",2006,"0904","D",818,1952,0.458435207823961
"41",2006,"0904","R",663,971,0.36500754147813
"42",2006,"0905","D",4365,24094,0.503780068728522
"43",2006,"0905","R",5225,30089,0.331483253588517
"44",2006,"09NA","R",3,3,0
"45",2006,"1204","R",155,775,0
"46",2006,"1208","D",409,2773,0
"47",2006,"1208","R",1031,4299,0.237633365664403
