"","Count","FIPS Code","state","Year","Month","Population","LaborForce","LaborForce_prct","Employed","Employed_prct","Unemployed","Unemployed_prct","ElectionYear","st_cd_fips","party","winner_party","president_party","Uncontested","CandidateName","Status","pv2p","party_wins","party_support","MidtermYear","term","prev","Unc_prev","approval_cent","same_party"
"1",19558,1,"Alabama",2006,10,3534233,2174902,61.5,2087658,59.1,87244,4,1,"0101","R","R","R",0,"Bonner, Josiah Robbins Jr.","Incumbent",68.16,1,37.9821428571429,1,4,NA,NA,-6.61785714285715,1
"2",19558,1,"Alabama",2006,10,3534233,2174902,61.5,2087658,59.1,87244,4,1,"0102","R","R","R",0,"Everett, Terry","Incumbent",69.54,1,37.9821428571429,1,1,NA,NA,-6.61785714285715,1
"3",19558,1,"Alabama",2006,10,3534233,2174902,61.5,2087658,59.1,87244,4,1,"0103","R","R","R",0,"Rogers, Mike D.","Incumbent",60.72,1,37.9821428571429,1,7,NA,NA,-6.61785714285715,1
"4",19558,1,"Alabama",2006,10,3534233,2174902,61.5,2087658,59.1,87244,4,1,"0104","R","R","R",0,"Aderholt, Robert","Incumbent",70.26,1,37.9821428571429,1,7,NA,NA,-6.61785714285715,1
"5",19558,1,"Alabama",2006,10,3534233,2174902,61.5,2087658,59.1,87244,4,1,"0106","R","R","R",1,"Bachus, Spencer","Incumbent",100,1,37.9821428571429,1,4,NA,NA,-6.61785714285715,1
"6",19558,1,"Alabama",2006,10,3534233,2174902,61.5,2087658,59.1,87244,4,1,"0101","D","R","R",0,"Beckerle, Vivian Sheffield","Challenger",31.84,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"7",19558,1,"Alabama",2006,10,3534233,2174902,61.5,2087658,59.1,87244,4,1,"0102","D","R","R",0,"James, Charles Dean","Challenger",30.46,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"8",19558,1,"Alabama",2006,10,3534233,2174902,61.5,2087658,59.1,87244,4,1,"0103","D","R","R",0,"Pierce, Greg A.","Challenger",39.28,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"9",19558,1,"Alabama",2006,10,3534233,2174902,61.5,2087658,59.1,87244,4,1,"0104","D","R","R",0,"Bobo, Barbara","Challenger",29.74,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"10",19558,1,"Alabama",2006,10,3534233,2174902,61.5,2087658,59.1,87244,4,1,"0105","D","D","R",1,"Cramer, Robert E.","Incumbent",100,1,50.0833333333333,1,1,NA,NA,5.48333333333333,0
